year,confID,rank,playoff,firstRound,semis,finals,o_fgm,o_fga,o_ftm,o_fta,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,d_fgm,d_fga,d_fta,d_3pm,d_3pa,d_oreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,GP,attend,win_percentage,loss_percentage,home_win_percentage,home_loss_percentage,away_win_percentage,away_loss_percentage,conference_win_percentage,conference_loss_percentage,tmID_encoded,Avg_Rebounds_Per_Game,Avg_Steals_Per_Game,Avg_Turnovers_Per_Game,FG%,FT%,GP_8,GS,PF,POSITION_METRIC,PostBlocks,PostDQ,PostftAttempted,PostoRebounds,PostthreeAttempted,Usability,award,birthYear,dq,fgAttempted,ftMade,height,minutes,num_seasons,oRebounds,threeAttempted,total_blocks,total_rebounds,total_steals,total_turnovers,weight,tmID
3,0,6.33,1,0.0,0.0,0.0,773.33,1827.33,457.33,583.67,471.0,285.67,648.33,934.0,472.33,614.0,251.67,500.0,120.67,848.33,1888.67,611.67,123.67,364.0,311.0,962.0,552.67,614.67,259.67,469.33,118.33,32.0,152704.67,0.3,0.7,0.4,0.6,0.21,0.79,0.33,0.67,7.0,2.76,1.07,1.76,0.4,0.79,29.88,20.83,62.11,0.25,0.04,0.0,0.28,0.42,1.62,0.59,0.0,1974.42,0.74,195.97,51.55,69.92,719.29,5.38,24.84,67.91,7.16,84.63,33.76,54.76,156.92,IND
4,0,5.17,0,0.25,0.0,0.0,752.17,1826.17,456.17,581.83,507.0,300.33,640.67,941.0,459.67,586.5,259.83,469.0,110.33,826.17,1852.83,557.33,142.83,414.0,299.5,947.0,529.83,630.83,242.83,469.67,131.67,32.0,143824.83,0.4,0.6,0.51,0.49,0.29,0.71,0.45,0.55,7.0,4.54,1.28,1.79,0.41,0.78,31.0,21.2,74.03,0.43,0.9,0.13,5.79,5.15,6.58,0.64,0.18,1974.31,1.32,238.29,73.53,71.44,802.79,6.6,48.37,71.21,16.05,154.35,42.12,60.64,167.2,IND
5,0,5.1,0,0.15,0.0,0.0,786.9,1900.1,453.3,574.3,544.2,313.8,646.0,959.8,491.4,619.1,275.5,471.0,114.6,830.5,1874.9,589.6,148.5,416.8,303.3,962.6,545.9,630.9,236.5,486.6,147.0,32.8,143006.1,0.43,0.57,0.57,0.43,0.29,0.71,0.47,0.53,7.0,4.21,1.03,1.56,0.43,0.77,30.25,17.49,72.04,0.44,0.47,0.08,2.75,2.18,1.71,0.58,0.06,1976.45,0.89,233.18,62.38,72.56,725.1,6.74,46.77,63.49,16.04,139.1,33.22,50.59,169.03,IND
6,0,5.4,1,0.1,0.0,0.0,788.27,1937.07,452.2,576.2,523.13,341.2,665.67,1006.87,512.6,625.73,270.67,476.0,121.07,821.67,1871.6,624.73,139.33,395.2,295.87,964.73,535.27,621.6,247.0,479.73,152.0,33.2,138333.73,0.43,0.57,0.57,0.43,0.29,0.71,0.45,0.55,7.0,4.56,1.08,1.66,0.41,0.77,31.43,20.4,79.52,0.41,0.35,0.06,1.95,1.53,1.21,0.59,0.08,1976.17,1.52,251.12,66.82,72.68,762.49,7.04,52.35,59.18,17.34,150.65,35.48,54.21,170.64,IND
7,0,4.43,1,0.36,0.14,0.0,787.05,1943.05,452.14,581.57,507.38,341.14,667.19,1008.33,507.0,637.81,289.33,476.29,113.62,808.33,1850.57,629.67,134.67,387.14,291.05,971.95,506.62,628.0,243.29,502.1,140.86,33.43,139522.38,0.49,0.51,0.64,0.36,0.33,0.67,0.52,0.48,7.0,3.65,1.11,1.69,0.39,0.76,32.07,20.09,72.57,0.32,0.48,0.07,4.04,2.17,2.41,0.61,0.09,1977.54,0.66,244.31,65.69,71.11,794.68,8.14,36.94,77.34,12.91,126.31,37.8,57.74,165.95,IND
8,0,4.07,1,0.39,0.11,0.0,808.54,1993.29,468.61,605.18,518.29,340.61,689.14,1029.75,505.5,629.86,305.5,489.21,108.46,827.0,1898.68,612.0,135.25,401.36,290.29,994.21,506.71,642.25,247.21,530.82,131.89,33.57,135333.79,0.52,0.48,0.66,0.34,0.38,0.62,0.54,0.46,7.0,4.28,1.3,1.87,0.41,0.75,32.63,24.64,79.72,0.38,0.57,0.13,4.16,2.17,3.09,0.66,0.1,1977.55,0.78,282.24,76.88,71.75,872.76,8.39,44.96,69.8,17.22,148.9,44.63,65.2,171.93,IND
9,0,3.61,1,0.53,0.19,0.0,830.42,2031.89,470.69,607.81,524.44,340.69,716.44,1057.14,506.72,633.44,306.06,511.39,114.58,839.0,1963.86,611.11,140.31,419.5,307.78,1031.94,499.67,646.86,254.5,548.42,127.92,33.67,135018.5,0.54,0.46,0.67,0.33,0.41,0.59,0.55,0.45,7.0,3.65,1.19,1.81,0.41,0.77,30.79,19.16,70.55,0.33,0.85,0.06,5.07,2.36,6.18,0.59,0.1,1979.83,0.69,235.74,61.73,71.42,743.25,6.87,34.6,73.33,14.43,122.77,39.74,60.27,169.35,IND
10,0,3.53,1,0.56,0.17,0.0,845.0,2077.89,477.86,621.06,556.11,345.0,735.83,1080.83,506.58,655.33,313.08,530.25,125.61,851.56,2009.03,631.97,139.81,421.28,315.08,1069.33,491.75,651.61,263.81,567.56,128.36,33.83,132892.03,0.54,0.46,0.68,0.32,0.41,0.59,0.57,0.43,7.0,4.38,1.26,1.82,0.41,0.76,30.17,22.59,75.86,0.44,1.46,0.07,9.82,4.37,6.35,0.61,0.16,1978.2,0.69,228.38,69.56,72.14,747.22,7.69,44.67,50.08,18.29,149.08,41.94,60.6,174.49,IND
11,0,2.86,1,0.68,0.36,0.11,860.47,2121.75,509.39,651.89,578.31,345.97,752.03,1098.0,512.47,667.08,329.53,535.25,124.89,866.67,2045.0,648.69,142.81,436.58,317.47,1099.81,489.92,664.17,267.25,589.69,124.17,33.94,133029.81,0.58,0.42,0.72,0.28,0.43,0.57,0.63,0.37,9.42,4.26,1.23,1.91,0.4,0.8,30.97,19.67,77.53,0.39,3.01,0.05,18.39,6.01,14.89,0.63,0.09,1981.45,1.12,275.64,84.3,71.83,786.63,6.04,38.73,74.98,22.49,154.53,43.73,68.34,165.91,IND
2,1,1.0,1,1.0,0.5,0.0,861.0,1956.0,545.0,693.0,452.0,308.0,783.0,1091.0,586.0,705.0,271.0,466.0,156.0,776.0,1963.0,692.0,122.0,413.0,300.0,978.0,445.0,650.0,243.0,485.0,105.0,32.0,105005.0,0.88,0.12,0.94,0.06,0.81,0.19,0.81,0.19,8.0,5.08,1.13,1.91,0.45,0.77,31.23,25.91,96.43,0.45,1.63,0.15,8.12,5.47,7.92,0.67,0.0,1973.63,2.26,270.0,74.69,71.93,838.6,7.66,43.98,48.64,25.56,176.58,38.27,67.09,167.04,LAS
3,1,1.0,1,1.0,0.83,0.67,897.67,2006.0,481.0,627.0,441.33,336.0,764.33,1100.33,592.67,645.67,277.67,447.33,144.0,778.0,1977.67,595.33,168.67,539.67,296.0,940.0,507.0,610.67,237.0,463.67,111.0,32.0,133965.67,0.87,0.12,0.98,0.02,0.77,0.23,0.87,0.13,8.0,4.64,1.1,1.95,0.44,0.74,30.39,23.19,83.23,0.4,5.92,0.05,13.34,7.99,8.75,0.67,0.11,1972.84,1.49,291.28,71.7,71.85,820.14,7.82,42.73,64.85,27.18,170.46,38.63,69.11,166.09,LAS
4,1,1.0,1,1.0,0.92,0.83,894.33,2004.0,478.5,636.0,478.17,332.5,789.17,1121.67,587.83,654.83,267.33,482.17,152.5,787.0,2008.83,622.17,165.83,530.33,305.0,949.5,507.5,616.83,256.0,458.33,111.0,32.0,160187.83,0.83,0.17,0.86,0.14,0.79,0.21,0.84,0.16,8.0,4.52,1.01,1.98,0.44,0.75,30.79,23.76,83.35,0.42,4.21,0.18,12.61,5.91,9.59,0.66,0.16,1972.76,1.74,273.41,65.79,72.4,813.74,7.49,39.67,66.7,25.19,162.03,36.91,70.34,169.37,LAS
5,1,1.0,1,1.0,0.95,0.7,894.2,2058.4,501.9,652.8,498.1,333.9,798.7,1132.6,587.5,665.7,257.2,477.3,155.9,818.6,2064.1,654.1,177.9,534.2,309.4,1011.7,533.3,631.7,250.0,462.2,117.4,32.8,159286.3,0.78,0.22,0.78,0.22,0.78,0.22,0.79,0.21,8.0,5.03,1.14,2.34,0.43,0.77,31.09,29.12,88.26,0.44,5.49,0.23,19.6,8.97,14.93,0.76,0.17,1974.18,1.6,284.89,75.0,71.97,946.56,8.61,40.31,62.87,29.14,188.69,44.44,86.74,170.06,LAS
6,1,1.0,1,0.83,0.63,0.47,897.47,2061.93,511.27,675.87,470.07,326.6,802.13,1128.73,600.33,687.47,258.8,494.53,153.27,817.4,2074.4,689.73,176.6,526.47,319.27,1029.8,532.87,655.8,262.67,482.47,116.27,33.2,165280.53,0.76,0.24,0.81,0.19,0.72,0.28,0.77,0.23,8.0,4.87,1.0,2.04,0.42,0.77,29.02,23.12,76.43,0.42,3.16,0.13,11.38,5.44,9.24,0.68,0.14,1976.68,0.94,279.5,70.49,72.48,811.47,8.21,37.35,57.18,22.32,164.0,34.53,70.36,168.21,LAS
7,1,1.86,1,0.74,0.45,0.33,890.48,2056.24,495.48,662.76,446.33,325.0,768.1,1093.1,586.24,701.62,260.29,493.81,148.33,817.57,2040.29,695.24,178.14,524.33,322.9,1033.0,542.62,655.29,258.19,500.05,115.9,33.43,161063.52,0.69,0.31,0.77,0.23,0.61,0.39,0.7,0.3,8.0,4.99,1.01,1.97,0.44,0.74,29.89,22.07,81.71,0.47,2.87,0.03,7.31,3.54,3.76,0.66,0.24,1977.69,1.36,274.14,63.37,71.88,802.23,7.84,38.6,38.03,24.49,162.98,33.53,64.66,162.64,LAS
8,1,1.64,0,0.8,0.46,0.25,908.36,2090.93,506.61,678.57,429.0,331.25,789.07,1120.32,592.18,695.96,269.21,503.86,143.5,831.43,2076.21,701.68,182.61,535.75,326.18,1045.25,548.21,650.46,264.64,514.04,118.93,33.57,156118.14,0.7,0.3,0.79,0.21,0.61,0.39,0.72,0.28,8.0,4.74,0.96,1.69,0.44,0.76,29.41,20.65,71.81,0.47,1.52,0.03,6.8,4.58,4.32,0.63,0.12,1977.6,0.7,242.54,56.28,72.37,750.27,7.66,42.33,26.96,14.45,155.06,31.51,54.48,166.98,LAS
9,1,2.83,1,0.62,0.36,0.19,915.39,2138.5,503.58,667.11,435.0,336.75,787.72,1124.47,583.69,703.97,263.83,518.78,135.39,858.67,2106.39,723.53,184.47,536.03,329.92,1074.97,563.28,640.36,270.28,522.03,122.94,33.67,154271.89,0.61,0.39,0.68,0.32,0.54,0.46,0.62,0.38,8.0,4.79,0.94,1.86,0.43,0.76,30.25,21.21,80.8,0.38,3.32,0.04,7.12,3.72,1.94,0.6,0.1,1977.71,1.18,250.55,58.88,66.23,739.64,7.56,40.62,39.8,30.24,162.43,30.96,59.78,173.72,LAS
10,1,3.03,1,0.68,0.36,0.13,926.25,2173.06,511.53,678.81,443.75,348.58,812.06,1160.64,589.56,708.36,260.78,542.31,151.83,870.53,2159.14,735.39,186.25,540.53,338.19,1094.0,556.64,657.56,279.22,526.25,127.86,33.83,156450.64,0.59,0.41,0.67,0.33,0.5,0.5,0.6,0.4,8.0,5.47,1.1,2.49,0.42,0.74,30.37,25.23,76.68,0.46,4.22,0.11,11.11,6.29,5.71,0.69,0.27,1978.27,1.13,311.64,79.82,71.76,841.4,7.39,44.88,58.73,33.86,190.04,37.5,83.76,167.68,LAS
11,1,3.17,1,0.74,0.36,0.06,938.75,2203.06,496.53,652.72,457.58,353.58,830.36,1183.94,588.89,683.64,250.72,553.0,155.5,882.61,2191.58,717.17,192.5,561.08,336.17,1091.78,548.78,651.78,285.83,516.08,126.0,33.94,160378.0,0.56,0.44,0.65,0.35,0.47,0.53,0.57,0.43,9.42,5.17,1.05,2.24,0.42,0.79,30.02,23.71,68.32,0.51,3.16,0.13,11.74,6.75,6.0,0.69,0.13,1979.87,0.78,263.27,62.25,73.04,829.73,6.41,40.78,59.53,23.91,176.08,36.69,74.89,175.01,LAS
2,0,6.0,1,0.0,0.0,0.0,647.0,1774.0,452.0,664.0,310.0,365.0,595.0,960.0,415.0,707.0,272.0,524.0,88.0,715.0,1676.0,627.0,117.0,315.0,275.0,923.0,416.0,661.0,247.0,528.0,118.0,32.0,127721.0,0.41,0.59,0.56,0.44,0.25,0.75,0.43,0.57,9.0,3.61,0.96,1.67,0.39,0.68,30.7,23.38,70.3,0.3,0.0,0.0,0.0,0.0,0.0,0.6,0.0,1972.8,0.3,209.37,50.62,70.77,744.94,4.75,40.37,31.27,7.77,111.16,29.51,51.68,154.84,MIA
3,0,4.0,0,0.33,0.0,0.0,718.33,1808.67,388.0,534.0,300.0,316.33,632.33,948.67,449.67,637.0,290.67,473.33,131.33,691.0,1708.67,601.0,119.0,368.33,292.33,953.0,397.33,579.0,255.0,517.33,97.33,32.0,137051.67,0.55,0.45,0.6,0.4,0.5,0.5,0.59,0.41,9.0,3.17,1.06,1.53,0.41,0.72,30.03,21.17,65.79,0.3,0.76,0.12,5.0,2.25,2.75,0.59,0.1,1972.44,0.45,208.66,42.18,71.23,725.44,5.62,33.29,42.14,11.7,104.32,34.32,49.22,160.72,MIA
2,1,6.0,0,0.0,0.0,0.0,770.0,1831.0,449.0,592.0,571.0,258.0,612.0,870.0,495.0,690.0,237.0,497.0,63.0,755.0,1758.0,702.0,164.0,481.0,300.0,977.0,472.0,707.0,275.0,547.0,130.0,32.0,116638.0,0.47,0.53,0.5,0.5,0.44,0.56,0.24,0.76,10.0,3.05,1.03,1.95,0.41,0.75,30.79,20.99,75.68,0.3,0.0,0.0,0.0,0.0,0.0,0.63,0.26,1975.57,1.27,309.98,76.66,71.23,794.09,7.1,29.39,116.33,8.0,96.12,32.56,61.17,165.65,MIN
3,1,6.0,0,0.0,0.0,0.0,704.0,1817.0,522.33,682.0,558.33,291.33,666.0,957.33,456.33,693.33,219.0,503.67,105.67,753.0,1870.67,650.0,156.67,475.0,318.67,1003.0,498.0,715.0,264.33,495.67,127.33,32.0,119284.0,0.41,0.59,0.42,0.58,0.4,0.6,0.37,0.63,10.0,3.84,0.89,2.01,0.37,0.77,26.44,17.87,62.87,0.39,0.0,0.0,0.0,0.0,0.0,0.64,0.03,1976.34,0.81,252.25,87.81,72.46,710.57,6.88,30.64,89.13,8.66,102.75,24.03,54.82,174.12,MIN
4,1,7.0,1,0.0,0.0,0.0,715.5,1796.0,452.67,630.0,529.17,300.17,658.0,958.17,461.17,655.17,222.5,516.33,103.83,750.0,1838.83,631.5,148.83,432.0,310.33,958.5,496.5,666.5,268.67,480.33,122.17,32.0,129579.0,0.36,0.64,0.43,0.57,0.29,0.71,0.33,0.67,10.0,3.48,1.02,1.94,0.4,0.7,28.91,19.89,64.87,0.38,0.0,0.06,0.71,0.26,0.58,0.65,0.0,1976.62,0.61,270.4,65.29,72.25,772.24,7.49,31.23,83.3,8.45,102.98,30.7,57.71,168.67,MIN
5,1,5.8,1,0.2,0.0,0.0,779.3,1868.8,451.6,627.6,527.1,324.5,682.0,1006.5,508.7,646.7,230.3,533.0,102.7,801.2,1930.1,632.1,145.7,437.6,321.0,970.7,509.1,666.3,269.6,476.6,123.7,32.8,125848.6,0.43,0.57,0.52,0.48,0.34,0.66,0.43,0.57,10.0,3.36,1.0,2.22,0.38,0.75,30.99,25.4,74.22,0.36,0.52,0.0,3.79,1.32,6.05,0.65,0.0,1974.79,0.84,243.37,64.64,71.78,818.71,7.29,29.9,97.07,10.84,109.99,33.85,73.74,167.22,MIN
6,1,4.87,0,0.3,0.0,0.0,775.2,1879.2,452.4,631.73,532.07,327.0,696.0,1023.0,514.47,651.13,239.2,559.67,114.8,802.13,1944.07,644.4,127.8,401.73,321.67,992.47,508.73,669.53,290.73,485.07,126.8,33.2,125598.07,0.46,0.54,0.56,0.44,0.36,0.64,0.47,0.53,10.0,3.11,0.7,1.7,0.41,0.71,29.33,16.04,63.65,0.38,0.41,0.0,3.18,1.11,2.24,0.55,0.0,1978.71,0.53,211.5,60.32,72.19,663.9,7.04,31.15,61.37,15.64,99.01,21.16,53.94,170.36,MIN
7,1,5.19,0,0.21,0.0,0.0,782.57,1898.29,448.0,622.95,520.62,322.14,701.43,1023.57,519.19,643.38,244.57,552.9,118.29,819.24,1965.48,629.43,128.14,394.38,328.05,1010.33,516.81,668.24,286.24,485.62,131.71,33.43,122126.33,0.45,0.55,0.58,0.42,0.31,0.69,0.45,0.55,10.0,3.65,0.77,1.81,0.41,0.7,30.09,17.41,67.23,0.45,0.19,0.0,1.4,0.52,0.65,0.52,0.0,1980.79,0.47,202.06,52.19,73.77,648.96,6.23,35.61,26.8,17.96,115.11,23.56,56.87,177.67,MIN
8,1,5.64,0,0.16,0.0,0.0,823.18,1976.46,457.25,637.46,495.21,326.61,727.07,1053.68,512.14,646.04,231.68,547.18,116.96,865.43,2052.61,651.82,140.86,431.29,339.04,1058.75,543.86,659.43,291.68,473.71,129.79,33.57,118975.25,0.41,0.59,0.56,0.44,0.26,0.74,0.41,0.59,10.0,3.39,0.67,1.86,0.42,0.76,31.71,23.3,62.73,0.37,0.08,0.0,0.69,0.25,0.44,0.61,0.24,1982.4,0.12,301.14,74.45,72.44,796.16,5.33,27.48,55.42,11.85,111.4,21.36,61.22,171.72,MIN
9,1,5.72,0,0.12,0.0,0.0,856.03,2060.58,473.64,645.58,495.39,342.25,739.94,1082.19,530.78,660.92,233.08,550.25,112.08,892.67,2084.25,681.42,145.56,437.89,334.36,1071.92,548.56,656.22,288.86,486.0,133.61,33.67,119429.42,0.38,0.62,0.52,0.48,0.24,0.76,0.4,0.6,10.0,3.95,0.78,1.88,0.42,0.77,31.0,23.97,65.69,0.37,0.11,0.0,1.18,0.45,1.65,0.64,0.06,1981.44,0.49,290.29,71.88,72.96,795.82,5.92,34.79,44.89,16.95,125.08,24.88,59.29,175.67,MIN
10,1,6.0,0,0.1,0.0,0.0,894.94,2133.31,514.42,695.44,473.39,348.06,757.58,1105.64,540.06,680.94,250.06,534.83,117.11,920.5,2131.5,712.94,149.08,448.75,339.25,1110.44,561.19,674.42,280.83,506.08,135.64,33.83,118908.5,0.4,0.6,0.53,0.47,0.27,0.73,0.4,0.6,10.0,4.06,1.17,1.59,0.44,0.79,31.21,17.89,79.76,0.33,0.15,0.0,1.43,0.73,1.42,0.62,0.2,1983.86,1.27,286.26,89.17,72.4,782.74,4.06,40.59,49.6,17.63,131.7,38.31,51.47,173.66,MIN
11,1,5.81,0,0.07,0.0,0.0,918.39,2182.69,536.0,715.97,518.44,345.0,763.56,1108.56,536.94,686.39,263.25,529.22,119.58,957.14,2174.81,719.72,160.25,464.81,335.42,1132.0,571.08,679.47,274.0,517.28,137.39,33.94,120484.44,0.4,0.6,0.53,0.47,0.27,0.73,0.39,0.61,9.42,5.02,1.35,1.98,0.45,0.77,31.22,24.37,80.96,0.42,1.83,0.09,7.3,4.11,3.58,0.69,0.08,1981.81,0.74,301.15,85.73,71.75,858.37,4.74,47.46,55.08,15.28,172.26,44.06,67.49,169.12,MIN
2,0,1.0,1,1.0,1.0,0.5,792.0,1815.0,429.0,567.0,396.0,288.0,652.0,940.0,477.0,617.0,246.0,474.0,102.0,741.0,1822.0,590.0,116.0,420.0,320.0,967.0,462.0,645.0,223.0,479.0,94.0,32.0,231962.0,0.62,0.38,0.75,0.25,0.5,0.5,0.67,0.33,11.0,3.87,1.07,2.03,0.43,0.78,30.21,21.51,73.86,0.4,2.6,0.28,12.01,7.0,8.78,0.7,0.13,1971.63,0.86,222.53,54.84,69.98,843.22,6.99,35.61,52.79,13.99,141.36,41.29,73.25,164.34,NYL
3,0,1.67,1,1.0,0.67,0.17,819.33,1823.67,367.0,522.33,412.67,266.0,657.33,923.33,527.67,616.33,258.67,449.33,88.67,743.0,1780.0,623.33,127.33,402.67,309.33,977.67,440.67,615.0,223.0,490.33,82.0,32.0,244364.0,0.65,0.35,0.79,0.21,0.5,0.5,0.63,0.37,11.0,3.88,1.15,1.82,0.44,0.74,31.0,23.35,77.42,0.42,2.65,0.21,11.17,7.62,10.05,0.68,0.12,1971.56,0.78,244.77,49.42,70.76,844.33,7.29,35.25,53.71,12.79,145.25,43.18,67.32,167.22,NYL
4,0,1.33,0,1.0,0.83,0.33,795.67,1781.83,383.5,544.67,406.33,263.0,633.67,896.67,511.83,627.17,259.83,453.67,94.33,717.0,1756.5,634.17,138.17,418.33,310.67,969.33,425.33,606.0,225.5,484.17,85.0,32.0,239540.5,0.6,0.4,0.71,0.29,0.5,0.5,0.58,0.42,11.0,4.13,1.14,1.86,0.44,0.75,31.22,26.65,80.61,0.45,2.04,0.1,15.64,7.98,13.76,0.72,0.03,1972.2,0.95,270.16,56.42,71.56,915.02,7.72,36.24,63.97,19.12,157.53,42.55,70.02,169.54,NYL
5,0,3.2,1,0.6,0.5,0.2,807.4,1838.3,394.9,541.6,443.8,266.2,654.6,920.8,517.9,611.1,260.7,460.2,107.8,758.6,1837.5,612.9,144.9,437.8,316.8,1006.4,457.6,609.2,242.9,482.5,89.4,32.8,228662.7,0.55,0.45,0.68,0.32,0.42,0.58,0.53,0.47,11.0,4.03,0.99,1.75,0.45,0.81,30.17,20.49,69.42,0.41,1.03,0.05,6.89,3.91,7.67,0.67,0.02,1974.21,0.58,254.02,52.15,72.29,818.22,8.08,37.11,65.74,17.08,137.44,33.84,58.28,168.58,NYL
6,0,2.8,1,0.73,0.5,0.13,811.27,1869.53,395.93,538.07,501.53,265.13,683.4,948.53,524.93,603.07,243.47,475.47,113.2,794.73,1923.67,601.6,140.6,430.53,334.87,1037.93,477.4,602.47,257.93,465.0,100.6,33.2,208462.47,0.54,0.46,0.67,0.33,0.42,0.58,0.52,0.48,11.0,3.32,0.78,1.6,0.44,0.8,29.78,17.68,61.56,0.36,1.5,0.05,5.18,3.64,11.12,0.61,0.0,1975.98,0.23,219.16,42.26,71.85,746.58,7.4,25.77,77.95,16.23,113.8,27.01,53.4,164.12,NYL
7,0,2.86,0,0.67,0.36,0.1,816.05,1866.81,411.95,542.05,531.1,258.52,697.29,955.81,517.24,605.9,235.05,471.62,112.86,813.1,1948.9,603.43,136.14,421.24,337.76,1035.67,476.14,598.9,262.81,449.57,96.43,33.43,198153.48,0.54,0.46,0.65,0.35,0.43,0.57,0.5,0.5,11.0,2.16,0.63,1.43,0.43,0.76,28.79,7.57,51.68,0.3,0.56,0.07,3.13,1.56,5.57,0.45,0.0,1979.05,0.15,156.81,39.13,72.13,540.31,7.77,18.46,55.89,9.27,71.38,19.96,45.99,164.65,NYL
8,0,3.39,1,0.5,0.27,0.07,817.54,1917.36,436.96,569.04,559.57,265.14,706.96,972.11,506.68,622.93,239.29,497.71,112.64,851.32,1999.93,633.07,144.86,431.18,338.57,1070.0,484.11,616.18,264.61,458.43,105.82,33.57,187377.11,0.49,0.51,0.59,0.41,0.38,0.62,0.46,0.54,11.0,2.7,0.77,1.37,0.4,0.73,29.92,11.73,60.3,0.28,0.15,0.0,1.3,0.95,1.56,0.47,0.0,1981.34,0.25,172.84,40.75,72.14,595.82,5.72,25.25,54.14,10.39,88.02,24.65,44.25,170.29,NYL
